"Year","ID","crossing_time","crossing_duration","crossing_date","nearest_before_Lon","nearest_before_Lat","nearest_after_Lon","nearest_after_Lat","lake_width","circumvent_distance","straight_distance","circumvent_speed","straight_speed","albedo_linear","albedo_nearest_pixel","albedo_whole_lake","type","order","season","Location","average_speed_on_land","max_speed_on_land","location","lake_spent","sex","response","lake_spent_proportion","log_ratio_cir_ref","log_ratio_dir_ref","log_ratio_cir_dir"
2019,"bev144",2019-05-20 16:00:00,0.0833333333333333,140,"-110.855511","65.768017","-110.736206","65.773703",1914.18272422831,19655.6549155383,5486.96643965044,2.72995207160254,0.762078672173673,0.759700189034144,0.746031761169434,0.746031746031746,"0",107,"spring","Spring Migration",0.428781853525343,1.07011333620021,"Known Crossing Event",36.3986059617915,"m","1",0.303321716348262,1.8510910421782,0.575101505022571,1.27598953715562
2019,"bat221",2019-05-20 12:00:00,0.0833333333333333,140,"-110.59877","65.564341","-110.484561","65.604252",4988.23032681828,131114.524604169,6881.6263529632,18.2103506394679,0.955781437911556,0.745639834139082,0.746031761169434,0.746031746031746,"0",108,"spring","Spring Migration",0.581909532407418,0.910699129929722,"Known Crossing Event",27.2819307604361,"f","1",0.227349423003634,3.44343043481121,0.496214272432065,2.94721616237914
2019,"bat228",2019-04-06 16:01:00,0.666666666666667,96,"-110.807961","65.290015","-110.154338","65.414309",5784.57600327424,84847.4255313661,33349.7018898225,1.47304558214177,0.57898788003164,0.912273243069649,0.994709014892578,0.984126984126984,"0",109,"spring","Spring Migration",0.505542913650964,1.13809038060488,"Known Crossing Event",99.7575232893482,"f","1",0.103914086759738,1.06945443275927,0.135648616435068,0.933805816324205
2019,"bat231",2019-05-20 18:00:00,0.125,140,"-110.571197","65.523303","-110.4601","65.590326",5576.16804759714,122388.84243106,9047.33887827056,11.3323002250981,0.83771656280283,0.755952390531699,0.780423283576965,0.746031746031746,"0",110,"spring","Spring Migration",0.564706282583965,0.8731007637829,"Known Crossing Event",40.3854159537254,"f","1",0.224363421965141,2.99910661202428,0.394374070581783,2.6047325414425
2019,"bat239",2019-05-20 12:00:00,0.0833333333333333,140,"-110.604735","65.564899","-110.484733","65.60393",4817.25228706697,130419.617264642,7026.26421079583,18.1138357312003,0.975870029277199,0.742222230434418,0.746031761169434,0.746031746031746,"0",111,"spring","Spring Migration",0.639574449182959,0.847288027916351,"Known Crossing Event",13.1191928392736,"f","1",0.109326606993946,3.34362829824122,0.422526378778785,2.92110191946244
2019,"bat205",2019-06-04 15:01:00,0.167361111111111,155,"-109.739873","64.984973","-109.785149","65.029734",1394.25165229914,6411.57792134691,5418.72482215294,0.443400962748749,0.374738922693841,0.666666686534882,0.666666686534882,0.666666666666667,"0",112,"spring","Spring Migration",0.0267973461009749,0.10610443440118,"Known Crossing Event",161.805578399225,"m","1",0.671392441490561,2.80617161193668,2.63792672082623,0.168244891110455
2019,"bat205",2019-06-10 02:01:00,0.0826388888888889,161,"-109.686304","65.046878","-109.761438","65.038564",2015.51325556321,25901.5884096773,3648.41565656904,3.62767344673352,0.510982584953647,0.639971142465418,0.640211641788483,0.64021164021164,"0",113,"spring","Spring Migration",0.106292080641202,0.271604872509052,"Known Crossing Event",11.8012033497491,"m","1",0.0991697760483118,3.53015601552472,1.57014472680754,1.96001128871717
2019,"bat205",2019-06-24 20:00:00,0.166666666666667,175,"-110.278289","65.389203","-110.183564","65.42124",2961.29958372419,69522.1279189848,5655.03861423317,4.8279255499295,0.392711014877303,0.562830694019794,0.55820107460022,0.560846560846561,"0",114,"spring","Spring Migration",0.215261054324012,0.751820233136415,"Known Crossing Event",18.4684783488415,"m","1",0.0769519931201728,3.11032066388624,0.601222512546012,2.50909815134023
2019,"bat201",2019-06-08 10:01:00,0.0826388888888889,159,"-109.740281","65.264116","-109.7812","65.335634",463.060336224678,8287.7730145851,8185.72428524407,1.16075252305113,1.14645998392774,0.627865970134735,0.61904764175415,0.645502645502645,"0",115,"spring","Spring Migration",0.902044068118944,1.46334480181608,"Known Crossing Event",61.7866300938114,"m","1",0.519215378939592,0.252160425659471,0.239770824001417,0.0123896016580535
2019,"bat216",2019-06-23 16:00:00,0.0833333333333333,174,"-110.501674","65.523003","-110.378625","65.550072",4346.43753281447,116732.430342589,6423.10663406359,16.2128375475818,0.892098143619943,0.562881568303475,0.55820107460022,0.566137566137566,"0",116,"spring","Spring Migration",0.298317081592582,0.633046132101943,"Known Crossing Event",20.3875640624055,"m","1",0.169896367186713,3.99540169559921,1.09541919999304,2.89998249560617
2020,"bat240",2020-05-04 08:00:00,1,125,"-110.459703","65.302504","-110.29376","65.503616",14619.9274953947,82477.2226210959,23671.2299188028,0.954597484040462,0.273972568504662,0.855437979433272,0.825396835803986,0.846560846560847,"0",117,"spring","Spring Migration",0.26500888794118,0.507951487552095,"Known Crossing Event",153.409120739595,"f","1",0.106534111624719,1.28152640412733,0.0332646216052773,1.24826178252205
2020,"bat244",2020-05-06,0.0833333333333333,127,"-109.90234","65.27404","-109.841614","65.305647",2883.89013267953,18817.2405210871,4512.7791222517,2.61350562792877,0.626774878090514,0.782010579109192,0.732804238796234,0.825396825396825,"0",118,"spring","Spring Migration",0.2694877990799,0.894826807365247,"Known Crossing Event",11.8257801677989,"f","1",0.0985481680649906,2.27192463466407,0.844064313159375,1.42786032150469
2020,"bat257",2020-05-08 16:00:00,0.667361111111111,129,"-110.986016","65.016527","-110.543253","65.454613",2518.45795014936,61545.1919801876,52957.5686455227,1.06738106105077,0.918445519346562,0.81146384080251,0.841269850730896,0.804232804232804,"0",119,"spring","Spring Migration",0.395574944003393,1.09928561357626,"Known Crossing Event",387.189094202181,"f","1",0.402902283248888,0.99262305962835,0.842342327037954,0.150280732590395
2020,"bat252",2020-05-12 16:01:00,0.666666666666667,133,"-110.821972","65.373303","-110.535416","65.533227",1730.7218709492,26015.8924369765,22193.4741656789,0.451664799253065,0.385303370931925,0.756025864018334,0.746031761169434,0.783068783068783,"0",120,"spring","Spring Migration",0.439492648863317,1.0149909160922,"Known Crossing Event",94.9998616027514,"f","1",0.0989581891695327,0.027319319292535,-0.131589990405658,0.158909309698193
2020,"bat147",2020-05-20 08:00:00,0.667361111111111,141,"-111.345926","65.796642","-111.186216","66.071321",10695.3138351612,54546.6162589283,31424.8582211735,0.946004444310238,0.545002744037001,0.841931216418743,0.722222208976746,0.71957671957672,"0",121,"spring","Spring Migration",0.311192950723278,0.61310501047412,"Known Crossing Event",84.6210902539002,"f","1",0.0880552448011449,1.11183412691302,0.560377689450656,0.551456437462363
2021,"bat255",2021-04-10 16:00:33,0.666689814814815,100,"-111.016604","65.71036","-110.932651","65.804839",3945.17318190524,93575.1490845074,11195.5101672327,1.62451215382291,0.194359747356562,0.934472932265355,0.957671940326691,0.857142857142857,"0",122,"spring","Spring Migration",0.0410755082329914,0.0739287233782676,"Known Crossing Event",105.678937232333,"f","1",0.11007840411687,3.6775507995195,1.5542987725239,2.1232520269956
2021,"bat301",2021-04-13 11:00:26,0.125405092592593,103,"-111.14697","65.769584","-111.050711","65.806963",4186.88535542488,87732.1589311018,6051.93432027708,8.09710742326736,0.558554159693316,0.890933134339073,0.989417970180511,0.925925925925926,"0",123,"spring","Spring Migration",0.126396615675252,0.195073685715935,"Known Crossing Event",58.396673887876,"f","1",0.323377981843336,4.1598374620104,1.48592688066291,2.67391058134749
2021,"bat295",2021-04-13 19:00:11,0.125636574074074,103,"-110.651159","65.58979","-110.493359","65.618543",6148.74131679231,133470.609813492,7930.15910095501,12.2957724379081,0.730553579083833,0.912184008293682,0.867724895477295,0.925925925925926,"0",124,"spring","Spring Migration",0.30306646490145,0.724128874505954,"Known Crossing Event",12.4714842218422,"f","1",0.0689349657586858,3.70305864048082,0.879850436704775,2.82320820377605
2021,"bat262",2021-04-19 21:00:31,0.0834375,109,"-110.275285","65.390963","-110.201095","65.413762",2999.58451502165,69680.7565573216,4273.03870935811,9.66580060442802,0.592736677674866,0.926984127362569,0.98412698507309,0.962962962962963,"0",125,"spring","Spring Migration",0.0917719394053317,0.294331676454295,"Known Crossing Event",16.2863117029578,"f","1",0.135549826907681,4.6570426437078,1.86544366930565,2.79159897440215
2021,"bat294",2021-04-19 00:00:59,0.666747685185185,109,"-111.514058","65.754445","-111.420577","65.774948",123.232441789475,5635.9400240162,4843.13318808966,0.0978342913884806,0.0840719563263087,0.904761910438538,0.904761910438538,0.962962962962963,"0",126,"spring","Spring Migration",0.0328119069618607,0.075948966379293,"Known Crossing Event",19.636260546802,"f","1",0.020451952589236,1.0924836766341,0.94088158843831,0.15160208819579
2021,"bat299",2021-04-23 10:00:12,0.125,113,"-110.688398","65.634497","-110.569437","65.684826",6874.62703501797,140433.847835888,7821.72372615495,13.0031340588785,0.724233678347681,0.898368610276116,0.98412698507309,0.968253968253968,"0",127,"spring","Spring Migration",0.146930672109792,0.36443112466678,"Known Crossing Event",46.4140350381741,"f","1",0.257855750212079,4.48298483160929,1.59515324322748,2.88783158838181
2021,"bat266",2021-04-24 01:01:30,0.0828472222222222,114,"-111.068307","65.740187","-110.983323","65.765206",2385.55025348438,93253.451909327,4780.28964617363,13.0278641952119,0.667824761968933,0.907407416747167,0.835978865623474,1,"0",128,"spring","Spring Migration",0.421318113996426,0.861647610081487,"Known Crossing Event",11.3881029859283,"f","1",0.095457694768888,3.43145757872912,0.460637643197294,2.97081993553182
2021,"bev183",2021-04-26 08:01:26,0.666782407407407,116,"-110.709373","65.289522","-110.35222","65.327975",1597.79736083029,19503.0810820191,17150.8231960122,0.338536383996166,0.2977056621422,0.972957074642181,0.968253970146179,0.994708994708995,"0",129,"spring","Spring Migration",0.202984720528531,0.302269419897135,"Known Crossing Event",20.5958152083429,"m","1",0.0214502501735909,0.511500864655682,0.382974579588691,0.128526285066991
2021,"bat285",2021-05-03 17:00:52,0.375381944444444,123,"-109.906545","65.263279","-109.806392","65.307686",3183.58447516976,16683.8042783731,6794.49000887956,0.514408296437982,0.209493109144376,0.881117727607489,0.928571403026581,0.835978835978836,"0",130,"spring","Spring Migration",0.292641192444656,0.855197415427556,"Known Crossing Event",141.851822897952,"f","1",0.262421279988812,0.564070041754212,-0.33425641250884,0.898326454263052
2021,"bev183",2021-05-06 03:00:24,0.125266203703704,126,"-110.228593","65.351577","-110.120392","65.363594",2598.41166403635,57623.6502114714,5197.2662199642,5.32418462639485,0.480205693427349,0.838624336889812,0.804232776165009,0.82010582010582,"0",131,"spring","Spring Migration",0.398206133311917,0.903823780594752,"Known Crossing Event",27.0112797591822,"m","1",0.149743766566657,2.59304506294657,0.18724474598076,2.40580031696581
2021,"bat269",2021-05-14 20:00:41,0.33306712962963,134,"-110.442633","65.427806","-110.277581","65.505397",6710.06855754775,90770.2131671467,11524.2226422211,3.15426254186144,0.400466436467355,0.776921873583513,0.764550268650055,0.783068783068783,"0",132,"spring","Spring Migration",0.264708854090599,0.581474431456132,"Known Crossing Event",35.5679427845399,"f","1",0.0741591050864369,2.47787944677491,0.413999400716475,2.06388004605844
2021,"bat284",2021-05-18 00:01:37,0.499456018518519,138,"-110.591742","65.296088","-110.217639","65.494979",14136.1841596395,84299.732857058,28121.750827641,1.95350804943012,0.651675453100387,0.775177876497137,0.809523820877075,0.756613756613757,"0",133,"spring","Spring Migration",0.225478990528139,0.338212684679436,"Known Crossing Event",93.5756717655348,"f","1",0.130107763213035,2.15915504879105,1.06131968046629,1.09783536832476
2021,"bat292",2021-05-20 08:00:11,0.125162037037037,140,"-111.319233","65.94132","-111.454684","65.923188",3954.82890423033,19166.8472563915,6471.99324627113,1.77241051011573,0.59848282284734,0.770258985067669,0.788359761238098,0.746031746031746,"0",134,"spring","Spring Migration",0.157074357290668,0.565003143534828,"Known Crossing Event",5.02908203947018,"m","1",0.0279031738827641,2.42337646264046,1.33767851770228,1.08569794493818
2021,"bat288",2021-06-09 16:01:01,0.54193287037037,160,"-110.278761","65.387755","-110.148384","65.382369",4072.62301209609,64703.1112968926,6074.79124204559,1.3818659910064,0.129739470816598,0.642578661441803,0.642857134342194,0.64021164021164,"0",135,"spring","Spring Migration",0.150064683778164,0.306962267482663,"Known Crossing Event",86.00886164625,"m","1",0.110213606534716,2.22012360585895,-0.145538057355714,2.36566166321467
2017,"bat166",2017-05-26 15:01:00,3.375,146,"-110.576491","64.952931","-109.384732","65.426888",7057.95863989389,90901.6155879178,76696.0338632453,0.311733935486686,0.263017948776562,0.406882596643347,0.406593412160873,0.714285714285714,"0",136,"spring","Spring Migration",0.168562595730246,0.299007947415601,"Known Circumnavigating Event",3.21146383118695,"m","0",0.0006607950269932,0.614842884296383,0.444915107326646,0.169927776969737
2017,"bat181",2017-05-26 16:00:00,7.33333333333333,146,"-111.411576","65.525309","-111.471711","66.198877",5099.83024697519,77455.8266933327,75031.1923590919,0.122247201220538,0.118420442485941,0.406593412160873,0.406593412160873,0.714285714285714,"0",137,"spring","Spring Migration",0.102957341449203,0.176591183540271,"Known Circumnavigating Event",0,"m","0",0,0.171730492437317,0.139926621923744,0.0318038705135732
2017,"bat183",2017-05-19 22:00:00,40.4166666666667,139,"-110.229569","64.959911","-110.868611","66.316583",29255.9230400917,174068.26215917,153846.350144847,0.049847726849705,0.0440568013015025,0.484536084317669,0.483516484498978,0.751322751322751,"0",138,"spring","Spring Migration",0.257842699736585,0.649953285609572,"Known Circumnavigating Event",1.40215036285371,"m","0",2.40919306332252e-05,-1.64337681247822,-1.76686996799717,0.123493155518949
2017,"bat193",2017-05-17 16:01:00,2.33263888888889,137,"-111.806429","65.573611","-111.059133","66.220828",3468.73653006822,82750.7481111348,79654.195083558,0.410592180763793,0.395227721958708,0.506105035543442,0.50549453496933,0.761904761904762,"0",139,"spring","Spring Migration",0.410126028728197,0.946162312468347,"Known Circumnavigating Event",9.94864416189494,"f","0",0.00296178748493449,0.00113596135758165,-0.0370023895363481,0.0381383508939298
2019,"bat196",2019-06-18 08:00:00,8.50069444444444,169,"-111.458943","65.696273","-111.450639","66.015639",3706.71240267838,38778.6740224781,35553.6710319446,0.0527988917333526,0.0484079065326152,0.15384615957737,0.15384615957737,0.592592592592593,"0",140,"spring","Spring Migration",0.153321421978127,0.390460782318659,"Known Circumnavigating Event",824.983031404898,"m","0",0.0673950683281512,-1.06604631445292,-1.15287335655323,0.0868270421003128
2020,"bat241",2020-06-15 13:00:00,6.12569444444444,167,"-109.974051","64.810844","-108.278605","65.123879",3782.43133518468,102862.358192676,87128.8425604808,0.194351279508514,0.164623894797417,0.175824180245399,0.175824180245399,0.603174603174603,"0",141,"spring","Spring Migration",0.806673919324171,1.31177595055038,"Known Circumnavigating Event",3.5685704423035e-06,"m","0",4.04553955595001e-10,-1.42325228053616,-1.58925607475435,0.166003794218191
2020,"bat282",2020-06-23 08:00:00,3.08333333333333,175,"-110.439382","64.969266","-109.735324","65.556681",2074.43963850384,86465.9311832754,73153.2996275255,0.324571813751034,0.274599473076297,0.0879120901226997,0.0879120901226997,0.560846560846561,"0",142,"spring","Spring Migration",0.414672209673558,0.582303204548006,"Known Circumnavigating Event",0.028260069193621,"m","0",6.36488044901374e-06,-0.24498153440367,-0.412174777466892,0.167193243063221
2021,"bat314",2021-06-02 16:02:06,23.9990046296296,153,"-111.292303","65.485559","-111.314726","66.2007",11120.4267232831,85044.6952141593,79615.6840228919,0.041014767787514,0.0383965017949683,0.334065943956375,0.340659350156784,0.677248677248677,"0",144,"spring","Spring Migration",0.0863646396857135,0.145959955302801,"Known Circumnavigating Event",124.668304230357,"m","0",0.00360745008416699,-0.744646137351409,-0.810611972787719,0.06596583543631
